OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
410,8075966400,"Census Tract 9664, Logan County, Colorado",8075966400,LOGAN,712.26,0,2084,2.9
411,8075965900,"Census Tract 9659, Logan County, Colorado",8075965900,LOGAN,550.41,1.17,1418,2.6
412,8013060800,"Census Tract 608, Boulder County, Colorado",8013060800,BOULDER,8.2,0.06,7083,863.8
413,8013013507,"Census Tract 135.07, Boulder County, Colorado",8013013507,BOULDER,0.75,0,3356,4474.7
414,8013013505,"Census Tract 135.05, Boulder County, Colorado",8013013505,BOULDER,0.5,0,4534,9068
415,8013013212,"Census Tract 132.12, Boulder County, Colorado",8013013212,BOULDER,3.27,0.23,4639,1418.7
416,8013061300,"Census Tract 613, Boulder County, Colorado",8013061300,BOULDER,0.81,0,3524,4350.6
417,8013061400,"Census Tract 614, Boulder County, Colorado",8013061400,BOULDER,0.99,0,3663,3700
418,8013012607,"Census Tract 126.07, Boulder County, Colorado",8013012607,BOULDER,0.28,0,5343,19082.1
419,8013013508,"Census Tract 135.08, Boulder County, Colorado",8013013508,BOULDER,2,0.02,7797,3898.5
420,8013013506,"Census Tract 135.06, Boulder County, Colorado",8013013506,BOULDER,1,0,4409,4409
421,8013013213,"Census Tract 132.13, Boulder County, Colorado",8013013213,BOULDER,7.8,0.15,8709,1116.5
422,8013012608,"Census Tract 126.08, Boulder County, Colorado",8013012608,BOULDER,0.35,0,2521,7202.9
423,8013060600,"Census Tract 606, Boulder County, Colorado",8013060600,BOULDER,14.6,0.55,5953,407.7
424,8013060700,"Census Tract 607, Boulder County, Colorado",8013060700,BOULDER,3.87,0.03,3177,820.9
425,8013013005,"Census Tract 130.05, Boulder County, Colorado",8013013005,BOULDER,0.75,0,3483,4644
426,8013012508,"Census Tract 125.08, Boulder County, Colorado",8013012508,BOULDER,1.35,0.02,3340,2474.1
427,8013012605,"Census Tract 126.05, Boulder County, Colorado",8013012605,BOULDER,0.48,0,1693,3527.1
428,8013013004,"Census Tract 130.04, Boulder County, Colorado",8013013004,BOULDER,0.78,0.04,3725,4775.6
429,8013012401,"Census Tract 124.01, Boulder County, Colorado",8013012401,BOULDER,0.43,0,6128,14251.2
430,8013012300,"Census Tract 123, Boulder County, Colorado",8013012300,BOULDER,0.55,0,7038,12796.4
431,8013012202,"Census Tract 122.02, Boulder County, Colorado",8013012202,BOULDER,0.63,0,6020,9555.6
432,8013012102,"Census Tract 121.02, Boulder County, Colorado",8013012102,BOULDER,1.11,0,7359,6629.7
433,8013012105,"Census Tract 121.05, Boulder County, Colorado",8013012105,BOULDER,0.96,0,5614,5847.9
434,8013012104,"Census Tract 121.04, Boulder County, Colorado",8013012104,BOULDER,1.04,0.04,2484,2388.5
435,8013012904,"Census Tract 129.04, Boulder County, Colorado",8013012904,BOULDER,1.22,0.1,5663,4641.8
436,8013012707,"Census Tract 127.07, Boulder County, Colorado",8013012707,BOULDER,11.76,1.66,2536,215.6
437,8013012905,"Census Tract 129.05, Boulder County, Colorado",8013012905,BOULDER,0.51,0,2714,5321.6
438,8013012103,"Census Tract 121.03, Boulder County, Colorado",8013012103,BOULDER,0.89,0,3950,4438.2
439,8013012800,"Census Tract 128, Boulder County, Colorado",8013012800,BOULDER,15.21,0.53,12041,791.7
440,8123001412,"Census Tract 14.12, Weld County, Colorado",8123001412,WELD,2.03,0,2710,1335
441,8123001407,"Census Tract 14.07, Weld County, Colorado",8123001407,WELD,1.54,0,2566,1666.2
